week_ending,state_name,country_code,location_desc,begin_code,zip_5,county_ansi,state_alpha,util_practice_desc,domain_desc,asd_desc,freq_desc,prodn_practice_desc,end_code,sector_desc,short_desc,country_name,Value,reference_period_desc,CV (%),class_desc,asd_code,agg_level_desc,county_name,region_desc,watershed_desc,state_ansi,congr_district_code,domaincat_desc,state_fips_code,group_desc,watershed_code,unit_desc,source_desc,load_time,county_code,statisticcat_desc,commodity_desc,year
"",MISSOURI,9000,MISSOURI,00,"","",MO,ALL UTILIZATION PRACTICES,TOTAL,"",ANNUAL,ALL PRODUCTION PRACTICES,00,CROPS,"SOYBEANS - PRODUCTION, MEASURED IN BU",UNITED STATES,"181,035,000",YEAR,"",ALL CLASSES,"",STATE,"","","",29,"",NOT SPECIFIED,29,FIELD CROPS,00000000,BU,SURVEY,2017-02-23 15:00:08,"",PRODUCTION,SOYBEANS,2015
"",NEBRASKA,9000,NEBRASKA,00,"","",NE,ALL UTILIZATION PRACTICES,TOTAL,"",ANNUAL,ALL PRODUCTION PRACTICES,00,CROPS,"SOYBEANS - PRODUCTION, MEASURED IN BU",UNITED STATES,"305,660,000",YEAR,"",ALL CLASSES,"",STATE,"","","",31,"",NOT SPECIFIED,31,FIELD CROPS,00000000,BU,SURVEY,2016-09-30 12:00:00,"",PRODUCTION,SOYBEANS,2015
"",NEW JERSEY,9000,NEW JERSEY,00,"","",NJ,ALL UTILIZATION PRACTICES,TOTAL,"",ANNUAL,ALL PRODUCTION PRACTICES,00,CROPS,"SOYBEANS - PRODUCTION, MEASURED IN BU",UNITED STATES,"3,296,000",YEAR,"",ALL CLASSES,"",STATE,"","","",34,"",NOT SPECIFIED,34,FIELD CROPS,00000000,BU,SURVEY,2016-09-30 12:00:00,"",PRODUCTION,SOYBEANS,2015
"",NEW YORK,9000,NEW YORK,00,"","",NY,ALL UTILIZATION PRACTICES,TOTAL,"",ANNUAL,ALL PRODUCTION PRACTICES,00,CROPS,"SOYBEANS - PRODUCTION, MEASURED IN BU",UNITED STATES,"12,943,000",YEAR,"",ALL CLASSES,"",STATE,"","","",36,"",NOT SPECIFIED,36,FIELD CROPS,00000000,BU,SURVEY,2016-09-30 12:00:00,"",PRODUCTION,SOYBEANS,2015
"",NORTH CAROLINA,9000,NORTH CAROLINA,00,"","",NC,ALL UTILIZATION PRACTICES,TOTAL,"",ANNUAL,ALL PRODUCTION PRACTICES,00,CROPS,"SOYBEANS - PRODUCTION, MEASURED IN BU",UNITED STATES,"55,360,000",YEAR,"",ALL CLASSES,"",STATE,"","","",37,"",NOT SPECIFIED,37,FIELD CROPS,00000000,BU,SURVEY,2017-02-23 15:00:08,"",PRODUCTION,SOYBEANS,2015
"",NORTH DAKOTA,9000,NORTH DAKOTA,00,"","",ND,ALL UTILIZATION PRACTICES,TOTAL,"",ANNUAL,ALL PRODUCTION PRACTICES,00,CROPS,"SOYBEANS - PRODUCTION, MEASURED IN BU",UNITED STATES,"185,900,000",YEAR,"",ALL CLASSES,"",STATE,"","","",38,"",NOT SPECIFIED,38,FIELD CROPS,00000000,BU,SURVEY,2016-09-30 12:00:00,"",PRODUCTION,SOYBEANS,2015
"",OHIO,9000,OHIO,00,"","",OH,ALL UTILIZATION PRACTICES,TOTAL,"",ANNUAL,ALL PRODUCTION PRACTICES,00,CROPS,"SOYBEANS - PRODUCTION, MEASURED IN BU",UNITED STATES,"237,000,000",YEAR,"",ALL CLASSES,"",STATE,"","","",39,"",NOT SPECIFIED,39,FIELD CROPS,00000000,BU,SURVEY,2016-09-30 12:00:00,"",PRODUCTION,SOYBEANS,2015
"",OKLAHOMA,9000,OKLAHOMA,00,"","",OK,ALL UTILIZATION PRACTICES,TOTAL,"",ANNUAL,ALL PRODUCTION PRACTICES,00,CROPS,"SOYBEANS - PRODUCTION, MEASURED IN BU",UNITED STATES,"11,625,000",YEAR,"",ALL CLASSES,"",STATE,"","","",40,"",NOT SPECIFIED,40,FIELD CROPS,00000000,BU,SURVEY,2016-09-30 12:00:00,"",PRODUCTION,SOYBEANS,2015
"",PENNSYLVANIA,9000,PENNSYLVANIA,00,"","",PA,ALL UTILIZATION PRACTICES,TOTAL,"",ANNUAL,ALL PRODUCTION PRACTICES,00,CROPS,"SOYBEANS - PRODUCTION, MEASURED IN BU",UNITED STATES,"25,300,000",YEAR,"",ALL CLASSES,"",STATE,"","","",42,"",NOT SPECIFIED,42,FIELD CROPS,00000000,BU,SURVEY,2016-09-30 12:00:00,"",PRODUCTION,SOYBEANS,2015
"",SOUTH CAROLINA,9000,SOUTH CAROLINA,00,"","",SC,ALL UTILIZATION PRACTICES,TOTAL,"",ANNUAL,ALL PRODUCTION PRACTICES,00,CROPS,"SOYBEANS - PRODUCTION, MEASURED IN BU",UNITED STATES,"9,805,000",YEAR,"",ALL CLASSES,"",STATE,"","","",45,"",NOT SPECIFIED,45,FIELD CROPS,00000000,BU,SURVEY,2016-09-30 12:00:00,"",PRODUCTION,SOYBEANS,2015
"",SOUTH DAKOTA,9000,SOUTH DAKOTA,00,"","",SD,ALL UTILIZATION PRACTICES,TOTAL,"",ANNUAL,ALL PRODUCTION PRACTICES,00,CROPS,"SOYBEANS - PRODUCTION, MEASURED IN BU",UNITED STATES,"235,520,000",YEAR,"",ALL CLASSES,"",STATE,"","","",46,"",NOT SPECIFIED,46,FIELD CROPS,00000000,BU,SURVEY,2016-09-30 12:00:00,"",PRODUCTION,SOYBEANS,2015
"",TENNESSEE,9000,TENNESSEE,00,"","",TN,ALL UTILIZATION PRACTICES,TOTAL,"",ANNUAL,ALL PRODUCTION PRACTICES,00,CROPS,"SOYBEANS - PRODUCTION, MEASURED IN BU",UNITED STATES,"79,120,000",YEAR,"",ALL CLASSES,"",STATE,"","","",47,"",NOT SPECIFIED,47,FIELD CROPS,00000000,BU,SURVEY,2016-09-30 12:00:00,"",PRODUCTION,SOYBEANS,2015
"",TEXAS,9000,TEXAS,00,"","",TX,ALL UTILIZATION PRACTICES,TOTAL,"",ANNUAL,ALL PRODUCTION PRACTICES,00,CROPS,"SOYBEANS - PRODUCTION, MEASURED IN BU",UNITED STATES,"2,990,000",YEAR,"",ALL CLASSES,"",STATE,"","","",48,"",NOT SPECIFIED,48,FIELD CROPS,00000000,BU,SURVEY,2016-09-30 12:00:00,"",PRODUCTION,SOYBEANS,2015
"",VIRGINIA,9000,VIRGINIA,00,"","",VA,ALL UTILIZATION PRACTICES,TOTAL,"",ANNUAL,ALL PRODUCTION PRACTICES,00,CROPS,"SOYBEANS - PRODUCTION, MEASURED IN BU",UNITED STATES,"21,390,000",YEAR,"",ALL CLASSES,"",STATE,"","","",51,"",NOT SPECIFIED,51,FIELD CROPS,00000000,BU,SURVEY,2016-09-30 12:00:00,"",PRODUCTION,SOYBEANS,2015
"",WEST VIRGINIA,9000,WEST VIRGINIA,00,"","",WV,ALL UTILIZATION PRACTICES,TOTAL,"",ANNUAL,ALL PRODUCTION PRACTICES,00,CROPS,"SOYBEANS - PRODUCTION, MEASURED IN BU",UNITED STATES,"1,248,000",YEAR,"",ALL CLASSES,"",STATE,"","","",54,"",NOT SPECIFIED,54,FIELD CROPS,00000000,BU,SURVEY,2016-09-30 12:00:00,"",PRODUCTION,SOYBEANS,2015
"",WISCONSIN,9000,WISCONSIN,00,"","",WI,ALL UTILIZATION PRACTICES,TOTAL,"",ANNUAL,ALL PRODUCTION PRACTICES,00,CROPS,"SOYBEANS - PRODUCTION, MEASURED IN BU",UNITED STATES,"92,565,000",YEAR,"",ALL CLASSES,"",STATE,"","","",55,"",NOT SPECIFIED,55,FIELD CROPS,00000000,BU,SURVEY,2016-09-30 12:00:00,"",PRODUCTION,SOYBEANS,2015
"",OTHER STATES,9000,OTHER STATES,00,"","",OT,ALL UTILIZATION PRACTICES,TOTAL,"",ANNUAL,ALL PRODUCTION PRACTICES,00,CROPS,"SOYBEANS - PRODUCTION, MEASURED IN BU",UNITED STATES,0,YEAR,"",ALL CLASSES,"",STATE,"","","","","",NOT SPECIFIED,98,FIELD CROPS,00000000,BU,SURVEY,2016-09-30 12:00:00,"",PRODUCTION,SOYBEANS,2015
